plate,well,compound,dose,score
1,compound-001_1_K30,EMPTY_control,,0.7128669619560242
1,compound-001_1_K36,Esomeprazole,2.5,0.570070743560791
1,compound-001_1_K40,CRISPR_control,,0.7468792200088501
1,compound-001_1_L02,CRISPR_control,,0.5301101207733154
1,compound-001_1_L09,CRISPR_control,,0.7559109926223755
1,compound-001_1_L10,CRISPR_control,,0.49778488278388977
1,compound-001_1_L11,GSK429286A,0.25,0.5969892740249634
1,compound-001_1_L21,EMPTY_control,,0.6210154891014099
1,compound-001_1_L25,EMPTY_control,,0.6527484655380249
1,compound-001_1_L33,beta-CCB,10.0,0.6138383746147156
1,compound-001_1_L39,ambenonium,0.0025,0.9327381253242493
1,compound-001_1_L46,EMPTY_control,,0.9494028687477112
1,compound-001_1_L47,CRISPR_control,,0.5181421041488647
1,compound-001_1_M10,EMPTY_control,,1.1519885063171387
1,compound-001_1_M13,CRISPR_control,,0.8350570201873779
1,compound-001_1_M18,todralazine,1.0,0.5075407028198242
1,compound-001_1_M19,CRISPR_control,,0.897657573223114
1,compound-001_1_M20,CRISPR_control,,0.629441499710083
1,compound-001_1_M26,GDC-0994,2.5,0.778616189956665
1,compound-001_1_M28,Flavopiridol,0.25,1.6625932455062866
1,compound-001_1_M33,6-Mercaptopurine (6-MP),0.25,0.4925641119480133
1,compound-001_1_M35,CRISPR_control,,0.7669568061828613
1,compound-001_1_M37,CRISPR_control,,0.7567307949066162
1,compound-001_1_M43,isodibut,10.0,0.6435911059379578
1,compound-001_1_M44,MLN2238,2.5,3.0704591274261475
1,compound-001_1_M46,CRISPR_control,,0.5993123650550842
1,compound-001_1_N02,CRISPR_control,,0.5634818077087402
1,compound-001_1_N06,isodibut,0.0025,0.4958263039588928
1,compound-001_1_N07,Topotecan,0.25,0.5110217928886414
1,compound-001_1_N14,CRISPR_control,,0.48123785853385925
1,compound-001_1_N16,isodibut,1.0,0.6748921275138855
1,compound-001_1_N17,todralazine,0.0025,0.7487252354621887
1,compound-001_1_N22,EMPTY_control,,0.7117301225662231
1,compound-001_1_N25,EMPTY_control,,0.665922224521637
1,compound-001_1_N26,CRISPR_control,,0.5060038566589355
1,compound-001_1_N27,CRISPR_control,,0.5609112977981567
1,compound-001_1_N29,EMPTY_control,,0.8124037384986877
1,compound-001_1_N33,CRISPR_control,,1.4136375188827515
1,compound-001_1_N36,CRISPR_control,,0.8066380620002747
1,compound-001_1_N47,CRISPR_control,,0.7516207098960876
1,compound-001_1_O03,CRISPR_control,,0.6837703585624695
1,compound-001_1_O05,CRISPR_control,,0.8095524311065674
1,compound-001_1_O08,CRISPR_control,,0.5503930449485779
1,compound-001_1_O11,ambenonium,2.5,0.49533334374427795
1,compound-001_1_O15,CRISPR_control,,0.8322984576225281
1,compound-001_1_O16,EMPTY_control,,1.0862092971801758
1,compound-001_1_O33,CRISPR_control,,0.7200512886047363
1,compound-001_1_O36,Epothilone A,0.25,2.015666961669922
1,compound-001_1_O46,ambenonium,0.25,0.5971622467041016
1,compound-001_1_P04,Metergoline,0.01,0.8378680348396301
1,compound-001_1_P06,CRISPR_control,,0.805067777633667
1,compound-001_1_P08,AZM475271,2.5,0.8763570189476013
1,compound-001_1_P10,CRISPR_control,,0.5191964507102966
1,compound-001_1_P21,Topotecan,2.5,0.519612729549408
1,compound-001_1_P22,EMPTY_control,,0.7967299222946167
1,compound-001_1_P28,Epothilone A,2.5,1.5075747966766357
1,compound-001_1_P30,CRISPR_control,,0.8072830438613892
1,compound-001_1_P36,CRISPR_control,,0.7055744528770447
1,compound-001_1_P38,todralazine,0.01,0.5578369498252869
1,compound-001_1_P40,CRISPR_control,,2.061265707015991
1,compound-001_1_P44,CRISPR_control,,0.5306629538536072
1,compound-001_1_P45,EMPTY_control,,0.6794290542602539
1,compound-001_1_P46,CRISPR_control,,0.5943204164505005
1,compound-001_1_Q07,Trazodone,0.25,0.47947484254837036
1,compound-001_1_Q09,methylnaltrexone,10.0,0.6616258025169373
1,compound-001_1_Q10,Thiazovivin,2.5,0.7218624949455261
1,compound-001_1_Q14,EMPTY_control,,0.5985594391822815
1,compound-001_1_Q16,CRISPR_control,,0.7767331004142761
1,compound-001_1_Q18,MI-773,0.25,0.6209514141082764
1,compound-001_1_Q27,CRISPR_control,,0.6470341682434082
1,compound-001_1_Q29,CRISPR_control,,1.4792159795761108
1,compound-001_1_Q33,CRISPR_control,,0.678527295589447
1,compound-001_1_Q40,Rosuvastatin,0.25,1.1361004114151
1,compound-001_1_Q43,Amfebutamone,2.5,0.49741438031196594
1,compound-001_1_R02,CRISPR_control,,0.5283159017562866
1,compound-001_1_R10,CRISPR_control,,1.1620783805847168
1,compound-001_1_R19,(+)-cloprostenol,0.1,0.6231428384780884
1,compound-001_1_R21,CRISPR_control,,1.0476077795028687
1,compound-001_1_R22,methylnaltrexone,0.025,1.0692875385284424
1,compound-001_1_R23,CRISPR_control,,0.5604200959205627
1,compound-001_1_R25,EMPTY_control,,1.013238549232483
1,compound-001_1_R29,CRISPR_control,,1.9991981983184814
1,compound-001_1_R39,EMPTY_control,,1.120072603225708
1,compound-001_1_R40,MLN9708,2.5,2.5662803649902344
1,compound-001_1_R41,CRISPR_control,,0.537614107131958
1,compound-001_1_R44,Letrozole,2.5,0.6655281782150269
1,compound-001_1_S03,CRISPR_control,,0.6946548819541931
1,compound-001_1_S06,EMPTY_control,,0.7888495922088623
1,compound-001_1_S07,EMPTY_control,,1.0899076461791992
1,compound-001_1_S08,beta-CCB,2.5,0.5365490913391113
1,compound-001_1_S09,beta-CCB,1.0,0.7293697595596313
1,compound-001_1_S17,CRISPR_control,,0.5015551447868347
1,compound-001_1_S19,EMPTY_control,,0.949206531047821
1,compound-001_1_S20,CRISPR_control,,0.7870182991027832
1,compound-001_1_S34,EMPTY_control,,1.3051056861877441
1,compound-001_1_S35,(+)-cloprostenol,10.0,1.0648529529571533
1,compound-001_1_S37,todralazine,0.25,0.7162117958068848
1,compound-001_1_S38,CRISPR_control,,0.6875831484794617
1,compound-001_1_S47,CRISPR_control,,0.49681171774864197
1,compound-001_1_T18,CRISPR_control,,0.5065916776657104
1,compound-001_1_T25,ambenonium,10.0,0.715772271156311
1,compound-001_1_T26,Metergoline,0.25,0.5679356455802917
1,compound-001_1_T27,GSK256066,2.5,0.7089425325393677
1,compound-001_1_T31,ambenonium,0.025,0.4723529517650604
1,compound-001_1_T35,CRISPR_control,,0.7415792942047119
1,compound-001_1_T41,CRISPR_control,,0.554870069026947
1,compound-001_1_T43,CRISPR_control,,0.655791163444519
1,compound-001_1_T47,EMPTY_control,,0.5376557111740112
1,compound-001_1_U06,EMPTY_control,,0.4795563519001007
1,compound-001_1_U08,BIIB021,0.25,0.9764308929443359
1,compound-001_1_U13,BIRB 796,2.5,0.6264892220497131
1,compound-001_1_U14,EMPTY_control,,0.580353856086731
1,compound-001_1_U33,CRISPR_control,,0.6178664565086365
1,compound-001_1_U35,hydroxyamphetamine,0.01,0.4614211618900299
1,compound-001_1_U37,Amfebutamone,0.25,0.4780427813529968
1,compound-001_1_U40,EMPTY_control,,0.6163224577903748
1,compound-001_1_V15,todralazine,0.1,0.6092101335525513
1,compound-001_1_V19,Metergoline,0.025,0.4457991123199463
1,compound-001_1_V23,CRISPR_control,,0.7413239479064941
1,compound-001_1_V24,(+)-cloprostenol,1.0,0.40828609466552734
1,compound-001_1_V27,Rosuvastatin,2.5,0.4781489670276642
1,compound-001_1_V28,ambenonium,0.1,0.5870697498321533
1,compound-001_1_V29,EMPTY_control,,0.7586206793785095
1,compound-001_1_V30,hydroxyamphetamine,1.0,0.4382092356681824
1,compound-001_1_V33,EMPTY_control,,0.8526114821434021
1,compound-001_1_V36,isodibut,0.01,0.4913193881511688
1,compound-001_1_V41,PD168393,0.25,0.610700249671936
1,compound-001_1_V42,(+)-cloprostenol,0.01,0.5701999664306641
1,compound-001_1_V47,EMPTY_control,,0.6523135304450989
1,compound-001_1_W02,hydroxyamphetamine,0.025,0.5884137153625488
1,compound-001_1_W04,isodibut,2.5,0.5745736956596375
1,compound-001_1_W05,MLN9708,0.25,4.072421550750732
1,compound-001_1_W06,beta-CCB,0.25,0.42884302139282227
1,compound-001_1_W07,CRISPR_control,,0.5710298418998718
1,compound-001_1_W08,beta-CCB,0.025,0.5955885052680969
1,compound-001_1_W18,EMPTY_control,,0.6825177669525146
1,compound-001_1_W19,CRISPR_control,,0.5086369514465332
1,compound-001_1_W22,(+)-cloprostenol,0.25,0.729171633720398
1,compound-001_1_W23,CRISPR_control,,0.7667822241783142
1,compound-001_1_W24,LY2835219,0.25,0.47562047839164734
1,compound-001_1_W34,isodibut,0.1,0.5580945014953613
1,compound-001_1_W37,EMPTY_control,,0.6483986377716064
1,compound-001_1_X05,isodibut,0.25,0.5848358869552612
1,compound-001_1_X06,lovastatin,0.25,0.6423143148422241
1,compound-001_1_X07,EMPTY_control,,0.6756582856178284
1,compound-001_1_X10,BIRB 796,0.25,0.4184495210647583
1,compound-001_1_X12,EMPTY_control,,0.7011899352073669
1,compound-001_1_X14,CRISPR_control,,0.8284388184547424
1,compound-001_1_X15,CRISPR_control,,1.1686291694641113
1,compound-001_1_X18,methylnaltrexone,0.0025,0.4796922206878662
1,compound-001_1_X20,CEP-18770,2.5,2.5263400077819824
1,compound-001_1_X21,GSK256066,0.25,0.735119640827179
1,compound-001_1_X34,CRISPR_control,,0.9940150380134583
1,compound-001_1_X35,EMPTY_control,,0.652050256729126
1,compound-001_1_X45,EMPTY_control,,0.7508952617645264
1,compound-001_1_X46,methylnaltrexone,0.1,0.6275002360343933
1,compound-001_1_Y07,PD0325901,2.5,1.0407328605651855
1,compound-001_1_Y10,CRISPR_control,,0.9546528458595276
1,compound-001_1_Y17,lovastatin,2.5,0.7785308957099915
1,compound-001_1_Y23,LY2835219,2.5,0.7387160658836365
1,compound-001_1_Y27,EMPTY_control,,0.7110903263092041
1,compound-001_1_Y29,PD168393,2.5,0.6005339622497559
1,compound-001_1_Y37,EMPTY_control,,1.512183427810669
1,compound-001_1_Y40,CRISPR_control,,0.6484543681144714
1,compound-001_1_Z05,CRISPR_control,,0.6590722799301147
1,compound-001_1_Z09,Rufinamide,2.5,0.9833552837371826
1,compound-001_1_Z12,CRISPR_control,,0.6663577556610107
1,compound-001_1_Z13,EMPTY_control,,0.6641676425933838
1,compound-001_1_Z15,CRISPR_control,,0.4192746579647064
1,compound-001_1_Z16,(+)-cloprostenol,0.0025,0.4876386523246765
1,compound-001_1_Z38,EMPTY_control,,0.6039098501205444
1,compound-001_1_Z40,EMPTY_control,,0.798147976398468
1,compound-001_1_Z42,EMPTY_control,,0.6491701006889343
1,compound-002_1_AA04,CRISPR_control,,0.9664621949195862
1,compound-002_1_AA06,Trazodone,0.25,0.7016092538833618
1,compound-002_1_AA08,CRISPR_control,,1.1362189054489136
1,compound-002_1_AA16,CRISPR_control,,1.0284337997436523
1,compound-002_1_AA18,CRISPR_control,,0.9294809103012085
1,compound-002_1_AA19,CRISPR_control,,1.6650487184524536
1,compound-002_1_AA23,CRISPR_control,,1.2222799062728882
1,compound-002_1_AA24,CRISPR_control,,1.370624303817749
1,compound-002_1_AA26,EMPTY_control,,1.3739873170852661
1,compound-002_1_AA27,EMPTY_control,,1.0054261684417725
1,compound-002_1_AA34,CRISPR_control,,0.7144244909286499
1,compound-002_1_AA36,Indeloxazine Hydrochloride,10.0,1.237707495689392
1,compound-002_1_AA38,CRISPR_control,,1.2974334955215454
1,compound-002_1_AA40,CRISPR_control,,0.8629001975059509
1,compound-002_1_AA45,CRISPR_control,,0.8903615474700928
1,compound-002_1_AA47,CRISPR_control,,0.8561586737632751
1,compound-002_1_AB10,LY2228820,2.5,1.1649826765060425
1,compound-002_1_AB23,CRISPR_control,,1.096326470375061
1,compound-002_1_AB29,CRISPR_control,,0.9586294293403625
1,compound-002_1_AB35,CRISPR_control,,0.8168995380401611
1,compound-002_1_AB47,CRISPR_control,,1.0349539518356323
1,compound-002_1_AC02,Sarafloxacin,0.0025,1.1194531917572021
1,compound-002_1_AC05,CRISPR_control,,1.535691499710083
1,compound-002_1_AC06,CRISPR_control,,1.1473965644836426
1,compound-002_1_AC07,CRISPR_control,,1.03838050365448
1,compound-002_1_AC20,EMPTY_control,,0.8629177212715149
1,compound-002_1_AC24,Marbofloxacin,10.0,0.8839755654335022
1,compound-002_1_AC25,CRISPR_control,,0.9751992225646973
1,compound-002_1_AC27,Topotecan,0.25,1.195762276649475
1,compound-002_1_AC31,CRISPR_control,,0.8932226896286011
1,compound-002_1_AC33,EMPTY_control,,1.4927624464035034
1,compound-002_1_AC38,Sarafloxacin,2.5,1.020307183265686
1,compound-002_1_AC42,Oseltamivir,0.25,1.007246732711792
1,compound-002_1_AC46,Amfebutamone,2.5,0.793342649936676
1,compound-002_1_AC47,Rosuvastatin,2.5,0.8216865062713623
1,compound-002_1_AD02,EMPTY_control,,0.9113826751708984
1,compound-002_1_AD10,CRISPR_control,,0.9140349626541138
1,compound-002_1_AD14,CRISPR_control,,0.45400774478912354
1,compound-002_1_AD19,CRISPR_control,,0.65589439868927
1,compound-002_1_AD28,CRISPR_control,,0.6170029640197754
1,compound-002_1_AD29,CRISPR_control,,0.7652459144592285
1,compound-002_1_AD40,CRISPR_control,,1.0369070768356323
1,compound-002_1_AD42,EMPTY_control,,1.0650027990341187
1,compound-002_1_AD45,CRISPR_control,,1.260398507118225
1,compound-002_1_AD47,CRISPR_control,,0.8145567178726196
1,compound-002_1_AE02,EMPTY_control,,0.4670741558074951
1,compound-002_1_AE03,EMPTY_control,,0.8006237149238586
1,compound-002_1_AE05,Dihydroergocristine mesylate,0.0025,0.9602317214012146
1,compound-002_1_AE16,CRISPR_control,,0.5329037308692932
1,compound-002_1_AE21,Oseltamivir,10.0,0.6578134894371033
1,compound-002_1_AE24,EMPTY_control,,1.1545395851135254
1,compound-002_1_AE25,CRISPR_control,,1.1713533401489258
1,compound-002_1_AE30,Amoxapine,10.0,0.9210206270217896
1,compound-002_1_AE34,EMPTY_control,,1.1716744899749756
1,compound-002_1_AE40,Esomeprazole,0.25,0.8112014532089233
1,compound-002_1_AE41,MI-773,2.5,0.9136961102485657
1,compound-002_1_AE45,Imiquimod,1.0,0.9504497647285461
1,compound-002_1_B10,EMPTY_control,,0.8312541842460632
1,compound-002_1_B13,Indeloxazine Hydrochloride,0.01,0.6276092529296875
1,compound-002_1_B15,CRISPR_control,,0.6991181373596191
1,compound-002_1_B18,CRISPR_control,,0.5752861499786377
1,compound-002_1_B22,BIRB 796,0.25,0.5882682800292969
1,compound-002_1_B27,Dihydroergocristine mesylate,1.0,0.5845510363578796
1,compound-002_1_B30,EMPTY_control,,0.6309064626693726
1,compound-002_1_B39,EMPTY_control,,0.7074759602546692
1,compound-002_1_B40,CRISPR_control,,0.9053800106048584
1,compound-002_1_C16,Marbofloxacin,0.25,0.8412354588508606
1,compound-002_1_C25,CRISPR_control,,0.6524006724357605
1,compound-002_1_C29,EMPTY_control,,0.8240330815315247
1,compound-002_1_C31,CRISPR_control,,0.94920414686203
1,compound-002_1_C46,Indeloxazine Hydrochloride,1.0,1.2099589109420776
1,compound-002_1_D03,CRISPR_control,,0.7136193513870239
1,compound-002_1_D04,EMPTY_control,,1.0192654132843018
1,compound-002_1_D12,EMPTY_control,,0.986800491809845
1,compound-002_1_D13,EMPTY_control,,1.4095200300216675
1,compound-002_1_D16,Lumiracoxib,2.5,1.2153300046920776
1,compound-002_1_D17,CRISPR_control,,0.7761858701705933
1,compound-002_1_D23,EMPTY_control,,0.8619186282157898
1,compound-002_1_D29,GSK256066,0.25,1.4595568180084229
1,compound-002_1_D33,CRISPR_control,,0.7401840686798096
1,compound-002_1_D38,CRISPR_control,,0.6599789261817932
1,compound-002_1_D46,CRISPR_control,,0.9640258550643921
1,compound-002_1_D47,Sarafloxacin,0.25,0.6964607238769531
1,compound-002_1_E07,CRISPR_control,,0.7371411919593811
1,compound-002_1_E09,CRISPR_control,,0.6919379830360413
1,compound-002_1_E12,MLN2238,2.5,3.485534906387329
1,compound-002_1_E14,CRISPR_control,,0.6517175436019897
1,compound-002_1_E15,CRISPR_control,,0.8210973739624023
1,compound-002_1_E17,CRISPR_control,,0.7467911839485168
1,compound-002_1_E20,EMPTY_control,,1.5004271268844604
1,compound-002_1_E23,CRISPR_control,,0.6885123252868652
1,compound-002_1_E24,CRISPR_control,,0.9882528781890869
1,compound-002_1_E25,CRISPR_control,,1.1816465854644775
1,compound-002_1_E26,EMPTY_control,,1.0521588325500488
1,compound-002_1_E40,Imiquimod,2.5,0.5998374223709106
1,compound-002_1_E41,EMPTY_control,,1.0952812433242798
1,compound-002_1_E42,Peficitinb,0.25,0.5606950521469116
1,compound-002_1_E46,EMPTY_control,,0.8555477857589722
1,compound-002_1_E47,CRISPR_control,,1.1166082620620728
1,compound-002_1_F06,CRISPR_control,,0.4121955633163452
1,compound-002_1_F10,Trazodone,0.01,0.8460817337036133
1,compound-002_1_F14,MLN2238,0.25,2.308166027069092
1,compound-002_1_F16,Sarafloxacin,1.0,1.2455211877822876
1,compound-002_1_F24,EMPTY_control,,1.5554300546646118
1,compound-002_1_F27,CRISPR_control,,1.0477445125579834
1,compound-002_1_F29,Esomeprazole,2.5,0.6667525768280029
1,compound-002_1_F41,EMPTY_control,,1.2208456993103027
1,compound-002_1_F44,CRISPR_control,,0.8062394857406616
1,compound-002_1_F45,EMPTY_control,,0.5450823307037354
1,compound-002_1_F46,CRISPR_control,,0.6000849604606628
1,compound-002_1_G03,CRISPR_control,,0.6266380548477173
1,compound-002_1_G04,Amoxapine,0.0025,0.9441186189651489
1,compound-002_1_G08,CRISPR_control,,0.6259458661079407
1,compound-002_1_G09,Flavopiridol,0.25,2.1840837001800537
1,compound-002_1_G18,Sarafloxacin,0.01,0.9621057510375977
1,compound-002_1_G23,EMPTY_control,,0.9200920462608337
1,compound-002_1_G26,CRISPR_control,,0.8966699242591858
1,compound-002_1_G27,CRISPR_control,,0.6772648692131042
1,compound-002_1_G36,Dihydroergocristine mesylate,0.1,0.8385391235351562
1,compound-002_1_G39,EMPTY_control,,0.6863157153129578
1,compound-002_1_G41,EMPTY_control,,0.8747000098228455
1,compound-002_1_G42,Indeloxazine Hydrochloride,0.25,0.6093771457672119
1,compound-002_1_G46,Trazodone,10.0,0.9541283249855042
1,compound-002_1_H03,GDC-0994,0.25,0.8121280670166016
1,compound-002_1_H05,Dihydroergocristine mesylate,2.5,0.6914341449737549
1,compound-002_1_H08,Peficitinb,2.5,0.5495083332061768
1,compound-002_1_H15,sulfapyridine,0.1,0.879205584526062
1,compound-002_1_H19,CRISPR_control,,0.8342808485031128
1,compound-002_1_H22,Oseltamivir,0.025,0.5825259685516357
1,compound-002_1_H31,CEP-18770,2.5,3.4914145469665527
1,compound-002_1_H39,Trazodone,2.5,0.4857119917869568
1,compound-002_1_H42,Sarafloxacin,10.0,0.6166872382164001
1,compound-002_1_H45,Oseltamivir,0.0025,0.6564893126487732
1,compound-002_1_I04,Sarafloxacin,0.025,0.9102805256843567
1,compound-002_1_I05,BIIB021,2.5,1.4052050113677979
1,compound-002_1_I07,Marbofloxacin,0.025,1.161348581314087
1,compound-002_1_I16,EMPTY_control,,1.0136535167694092
